model,scenario,regime,metric,reported_unit,complete_three_strategy,cached,naive,poolact,delta_vs_naive,relative_percent_vs_naive,delta_vs_cached,relative_percent_vs_cached,delta_vs_stronger_baseline
glm-5.3,tuning,cost_tight,gap0_mi,Gap points,True,86.57074750139166,85.92950088398068,94.33103637151207,8.40153548753139,9.777242275472876,7.760288870120405,8.964100569878596,7.760288870120405
glm-5.3,tuning,cost_tight,gap_bon,Gap points,True,94.86674861114906,93.13167526208728,98.36588204730796,5.234206785220678,5.620221874556419,3.4991334361588997,3.6884719750452932,3.4991334361588997
glm-5.3,tuning,cost_tight,gap_mi,Gap points,True,86.57074750139166,85.92950088398068,94.33103637151207,8.40153548753139,9.777242275472876,7.760288870120405,8.964100569878596,7.760288870120405
glm-5.3,tuning,cost_tight,raw_perf_bon,0-100,True,91.79316472124171,90.67099889119467,93.8657405199828,3.1947416287881225,3.5234437337806623,2.0725757987410844,2.257875959539146,2.0725757987410844
glm-5.3,tuning,cost_tight,raw_perf_mi,0-100,True,88.40737734679823,88.41683687987151,92.19083846719175,3.7740015873202424,4.268419591223149,3.7834611203935253,4.279576245715377,3.7740015873202424
gpt-5.6-sol,evidence_audit,cost_moderate,evidence_acc_mi,0-100,True,56.90045248868778,63.68778280542986,59.38914027149321,-4.2986425339366505,-6.749555950266428,2.488687782805428,4.373757455268379,-4.2986425339366505
gpt-5.6-sol,evidence_audit,cost_moderate,evidence_acc_mv,0-100,True,65.15837104072398,64.70588235294117,67.42081447963801,2.714932126696837,4.195804195804209,2.2624434389140333,3.472222222222232,2.2624434389140333
gpt-5.6-sol,evidence_audit,cost_moderate,label_acc_mi,0-100,True,78.61990950226244,84.38914027149322,78.16742081447964,-6.221719457013577,-7.372654155495983,-0.4524886877828038,-0.5755395683453179,-6.221719457013577
gpt-5.6-sol,evidence_audit,cost_moderate,label_acc_mv,0-100,True,87.78280542986425,84.16289592760181,86.87782805429865,2.714932126696837,3.2258064516129004,-0.9049773755656076,-1.0309278350515427,-0.9049773755656076
gpt-5.6-sol,evidence_audit,cost_tight,evidence_acc_mi,0-100,True,52.37556561085973,49.7737556561086,59.16289592760181,9.389140271493211,18.86363636363637,6.787330316742079,12.958963282937352,6.787330316742079
gpt-5.6-sol,evidence_audit,cost_tight,evidence_acc_mv,0-100,True,58.82352941176471,51.58371040723983,62.44343891402715,10.85972850678732,21.052631578947345,3.6199095022624377,6.153846153846154,3.6199095022624377
