model,system,scenario,slice_kind,slice,regime,strategy,metric,unit,N,expected_units,known_units,missing_units,expected_items,complete_items,repeats_min,repeats_max,full_mean,known_subset_mean,cohort_id,source_input,source_row,run_start_utc,run_end_utc,latest_selection,display_value,display_unit,status
glm-5.3,poolact,restricted_search,all,all,cost_moderate,naive,f1_mv,fraction,4,39,39,0,39,39,1,1,0.620278196748785,0.620278196748785,glm_original,old_absolute,1873,2026-09-09T05:17:33.061708+00:00,2026-09-09T18:42:11.600352+00:00,latest_available_not_rerun,62.03,0–100,known
glm-5.3,poolact,restricted_search,all,all,cost_moderate,poolact,f1_mv,fraction,4,39,39,0,39,39,1,1,0.6574188338894221,0.6574188338894221,glm_original,old_absolute,1884,2026-09-09T05:17:33.061708+00:00,2026-09-09T18:42:11.600352+00:00,latest_available_not_rerun,65.74,0–100,known
glm-5.3,poolact,restricted_search,all,all,cost_tight,cached,f1_mv,fraction,4,39,39,0,39,39,1,1,0.2085972850678733,0.2085972850678733,glm_original,old_absolute,1895,2026-09-09T05:17:33.061708+00:00,2026-09-09T18:42:11.600352+00:00,latest_available_not_rerun,20.86,0–100,known
glm-5.3,poolact,restricted_search,all,all,cost_tight,naive,f1_mv,fraction,4,39,39,0,39,39,1,1,0.2085972850678733,0.2085972850678733,glm_original,old_absolute,1906,2026-09-09T05:17:33.061708+00:00,2026-09-09T18:42:11.600352+00:00,latest_available_not_rerun,20.86,0–100,known
glm-5.3,poolact,restricted_search,all,all,cost_tight,poolact,f1_mv,fraction,4,39,39,0,39,39,1,1,0.30005027652086474,0.30005027652086474,glm_original,old_absolute,1917,2026-09-09T05:17:33.061708+00:00,2026-09-09T18:42:11.600352+00:00,latest_available_not_rerun,30.01,0–100,known
glm-5.3,poolact,tuning,all,all,cost_moderate,cached,gap0_mi,Gap points,4,9,9,0,3,3,3,3,98.06133287597413,98.06133287597413,glm_original,old_gap0,38,2026-09-09T05:17:33.061708+00:00,2026-09-09T18:42:11.600352+00:00,latest_available_not_rerun,98.06,points,known
glm-5.3,poolact,tuning,all,all,cost_moderate,cached,gap_mi,Gap points,4,9,9,0,3,3,3,3,98.06133287597413,98.06133287597413,glm_original,old_absolute,1997,2026-09-09T05:17:33.061708+00:00,2026-09-09T18:42:11.600352+00:00,latest_available_not_rerun,98.06,points,known
glm-5.3,poolact,tuning,all,all,cost_moderate,naive,gap0_mi,Gap points,4,9,9,0,3,3,3,3,97.87332960162215,97.87332960162215,glm_original,old_gap0,40,2026-09-09T05:17:33.061708+00:00,2026-09-09T18:42:11.600352+00:00,latest_available_not_rerun,97.87,points,known
glm-5.3,poolact,tuning,all,all,cost_moderate,naive,gap_mi,Gap points,4,9,9,0,3,3,3,3,97.87332960162215,97.87332960162215,glm_original,old_absolute,2010,2026-09-09T05:17:33.061708+00:00,2026-09-09T18:42:11.600352+00:00,latest_available_not_rerun,97.87,points,known
glm-5.3,poolact,tuning,all,all,cost_moderate,poolact,gap0_mi,Gap points,4,9,9,0,3,3,3,3,98.96582781948116,98.96582781948116,glm_original,old_gap0,42,2026-09-09T05:17:33.061708+00:00,2026-09-09T18:42:11.600352+00:00,latest_available_not_rerun,98.97,points,known
