model,task,seed,rep,free_delivered,tight_delivered,free_stopping,tight_stopping,free_first_best,tight_first_best,free_final,tight_final
kimi-k3,hpobench:nasbench201:cifar10-valid,2208,0,13,5,natural,natural,4,3,0.9160666665039063,0.8939466665364584
kimi-k3,hpobench:nasbench201:cifar100,2200,0,8,3,natural,natural,1,2,0.7350333333333333,0.7350333333333333
kimi-k3,hpobench:nasbench201:cifar100,2204,0,3,3,natural,natural,1,2,0.7350333333333333,0.7350333333333333
kimi-k3,hpobench:nasbench201:cifar100,2208,0,16,3,natural,natural,2,2,0.7350333333333333,0.7258
kimi-k3,hpobench:nasbench201:imagenet16-120,2200,0,27,2,natural,budget,16,2,0.46572222222222226,0.46355555528428827
kimi-k3,hpobench:nasbench201:imagenet16-120,2204,0,23,2,natural,budget,12,2,0.4684444446478949,0.46355555528428827
kimi-k3,hpobench:nasbench201:imagenet16-120,2208,0,25,2,natural,budget,14,2,0.4684444446478949,0.46355555528428827
kimi-k3,hpobench:paramnet:adult:steps,2200,0,27,0,natural,budget,18,,0.8522685174886827,0.8488055558077715
kimi-k3,hpobench:paramnet:adult:steps,2204,0,30,1,cap,budget,28,1,0.8524259272256384,0.8422037010656462
kimi-k3,hpobench:paramnet:adult:steps,2208,0,30,1,cap,budget,30,1,0.8538518542730146,0.8422037010656462
kimi-k3,hpobench:paramnet:higgs:steps,2200,0,22,4,natural,natural,19,4,0.7167804475336222,0.7118219613896966
kimi-k3,hpobench:paramnet:higgs:steps,2204,0,30,1,cap,budget,29,1,0.712389303681018,0.6515821149829788
kimi-k3,hpobench:paramnet:higgs:steps,2208,0,30,7,cap,natural,27,7,0.7187500031108236,0.7127952015507155
kimi-k3,hpobench:paramnet:letter:steps,2200,0,30,7,cap,natural,25,4,0.9614201698797636,0.945092719454994
kimi-k3,hpobench:paramnet:letter:steps,2204,0,30,12,cap,natural,30,12,0.9596562629140162,0.9202623262752079
kimi-k3,hpobench:paramnet:letter:steps,2208,0,30,3,cap,budget,28,3,0.9620533682530631,0.9391904103330011
qwen3.8-2.4t-a95b-fp8,hpobench:nasbench101:A,2200,0,29,2,cap,budget,10,2,0.9433426856994629,0.9285857478777567
qwen3.8-2.4t-a95b-fp8,hpobench:nasbench101:A,2204,0,30,1,cap,budget,14,1,0.9455795884132385,0.845886747042338
