table,record,model,system,scenario,regime,strategy,slice_kind,slice,metric,field,historical,new,changed,delta,historical_identity,new_identity
by_repeat.csv,2387,kimi-k3,expgym,evidence_audit,cost_free,single,all,all,label_acc,known_subset_mean,0.9260935143288085,0.9502262443438914,True,0.02413273001508287,published-297c3d0-historical-scoring,official-n4-rollback-20260919
by_repeat.csv,2388,kimi-k3,expgym,evidence_audit,cost_moderate,single,all,all,evidence_acc,full_mean,0.6877828054298643,0.7194570135746606,True,0.03167420814479638,published-297c3d0-historical-scoring,official-n4-rollback-20260919
by_repeat.csv,2388,kimi-k3,expgym,evidence_audit,cost_moderate,single,all,all,evidence_acc,known_subset_mean,0.6877828054298643,0.7194570135746606,True,0.03167420814479638,published-297c3d0-historical-scoring,official-n4-rollback-20260919
by_repeat.csv,2389,kimi-k3,expgym,evidence_audit,cost_moderate,single,all,all,label_acc,full_mean,0.8536953242835595,0.8959276018099547,True,0.042232277526395134,published-297c3d0-historical-scoring,official-n4-rollback-20260919
by_repeat.csv,2389,kimi-k3,expgym,evidence_audit,cost_moderate,single,all,all,label_acc,known_subset_mean,0.8536953242835595,0.8959276018099547,True,0.042232277526395134,published-297c3d0-historical-scoring,official-n4-rollback-20260919
by_repeat.csv,2390,kimi-k3,expgym,evidence_audit,cost_tight,single,all,all,evidence_acc,full_mean,0.5158371040723982,0.526395173453997,True,0.010558069381598756,published-297c3d0-historical-scoring,official-n4-rollback-20260919
by_repeat.csv,2390,kimi-k3,expgym,evidence_audit,cost_tight,single,all,all,evidence_acc,known_subset_mean,0.5158371040723982,0.526395173453997,True,0.010558069381598756,published-297c3d0-historical-scoring,official-n4-rollback-20260919
by_repeat.csv,2391,kimi-k3,expgym,evidence_audit,cost_tight,single,all,all,label_acc,full_mean,0.7948717948717948,0.8144796380090498,True,0.019607843137254943,published-297c3d0-historical-scoring,official-n4-rollback-20260919
by_repeat.csv,2391,kimi-k3,expgym,evidence_audit,cost_tight,single,all,all,label_acc,known_subset_mean,0.7948717948717948,0.8144796380090498,True,0.019607843137254943,published-297c3d0-historical-scoring,official-n4-rollback-20260919
main_expgym.csv,25,glm-5.3,expgym,evidence_audit,cost_free,single,all,all,evidence_acc,full_mean,0.6847662141779789,0.8642533936651584,True,0.17948717948717952,published-297c3d0-historical-scoring,official-n4-rollback-20260919
main_expgym.csv,25,glm-5.3,expgym,evidence_audit,cost_free,single,all,all,evidence_acc,known_subset_mean,0.6847662141779789,0.8642533936651584,True,0.17948717948717952,published-297c3d0-historical-scoring,official-n4-rollback-20260919
main_expgym.csv,26,glm-5.3,expgym,evidence_audit,cost_moderate,single,all,all,evidence_acc,full_mean,0.6787330316742082,0.751131221719457,True,0.07239819004524883,published-297c3d0-historical-scoring,official-n4-rollback-20260919
main_expgym.csv,26,glm-5.3,expgym,evidence_audit,cost_moderate,single,all,all,evidence_acc,known_subset_mean,0.6787330316742082,0.751131221719457,True,0.07239819004524883,published-297c3d0-historical-scoring,official-n4-rollback-20260919
main_expgym.csv,27,glm-5.3,expgym,evidence_audit,cost_tight,single,all,all,evidence_acc,full_mean,0.502262443438914,0.5158371040723982,True,0.013574660633484226,published-297c3d0-historical-scoring,official-n4-rollback-20260919
main_expgym.csv,27,glm-5.3,expgym,evidence_audit,cost_tight,single,all,all,evidence_acc,known_subset_mean,0.502262443438914,0.5158371040723982,True,0.013574660633484226,published-297c3d0-historical-scoring,official-n4-rollback-20260919
main_expgym.csv,29,glm-5.3,expgym,restricted_search,cost_moderate,single,all,all,f1,full_mean,0.5327608944768282,0.538631735964108,True,0.005870841487279788,published-297c3d0-historical-scoring,official-n4-rollback-20260919
main_expgym.csv,29,glm-5.3,expgym,restricted_search,cost_moderate,single,all,all,f1,known_subset_mean,0.5327608944768282,0.538631735964108,True,0.005870841487279788,published-297c3d0-historical-scoring,official-n4-rollback-20260919
main_expgym.csv,49,kimi-k3,expgym,evidence_audit,cost_free,single,all,all,evidence_acc,full_mean,0.894419306184012,0.9200603318250377,True,0.02564102564102566,published-297c3d0-historical-scoring,official-n4-rollback-20260919
main_expgym.csv,49,kimi-k3,expgym,evidence_audit,cost_free,single,all,all,evidence_acc,known_subset_mean,0.894419306184012,0.9200603318250377,True,0.02564102564102566,published-297c3d0-historical-scoring,official-n4-rollback-20260919
main_expgym.csv,50,kimi-k3,expgym,evidence_audit,cost_moderate,single,all,all,evidence_acc,full_mean,0.6877828054298643,0.7194570135746606,True,0.03167420814479638,published-297c3d0-historical-scoring,official-n4-rollback-20260919
main_expgym.csv,50,kimi-k3,expgym,evidence_audit,cost_moderate,single,all,all,evidence_acc,known_subset_mean,0.6877828054298643,0.7194570135746606,True,0.03167420814479638,published-297c3d0-historical-scoring,official-n4-rollback-20260919
main_expgym.csv,51,kimi-k3,expgym,evidence_audit,cost_tight,single,all,all,evidence_acc,full_mean,0.5158371040723982,0.526395173453997,True,0.010558069381598756,published-297c3d0-historical-scoring,official-n4-rollback-20260919
main_expgym.csv,51,kimi-k3,expgym,evidence_audit,cost_tight,single,all,all,evidence_acc,known_subset_mean,0.5158371040723982,0.526395173453997,True,0.010558069381598756,published-297c3d0-historical-scoring,official-n4-rollback-20260919
