task,model,regime,gap0,repeats,slot_ids
hpobench:paramnet:higgs:steps,gemini-3.8-flash-medium,cost_moderate,97.68219467643969,3,c9a9df2ee4100fa91de8df6c;20360a82733a19d6ed8bd19e;e2a79224c2a291a76fb1c163
hpobench:paramnet:higgs:steps,kimi-k3,cost_tight,66.67976613652482,3,3005c0a657d1720868e24cdc;dc396919d440698a2da709ac;85bf3137115d4e327e0513c3
hpobench:paramnet:higgs:steps,glm-5.3,cost_tight,78.31472925744879,3,c6e21dbfbf498b8d30b1cde7;d60ff4168561d194e0739c70;a03130d4612c38808ad706ee
hpobench:paramnet:higgs:steps,qwen3.8-2.4t-a95b-fp8,cost_tight,65.53323093276967,3,3b7295e515038eac0150407b;eafb09593818e2866a1a79b1;467d2ea1f6d47095af7bd91a
hpobench:paramnet:higgs:steps,deepseek-v4-flash-0731,cost_tight,61.45336964357928,3,5384614ca7d1aef00a06fbb1;1a6c65604fe59d419b9e3431;2afc7ec386bf0776db78eff4
hpobench:paramnet:higgs:steps,gpt-5.6-sol,cost_tight,89.70413390374331,3,cae22c8c72b7ca9d4023b8ad;eab97f29455bb15f8c537d72;786bd64008d63faffccb5bd6
hpobench:paramnet:higgs:steps,gemini-3.8-flash-medium,cost_tight,92.67382615929098,3,9e8fd87ccd59a4144f52d522;1453509baeda25787cba9c62;56934206ce2b04726b8808d7
hpobench:paramnet:letter:steps,kimi-k3,cost_free,99.22170172699158,3,0313e5d238897f235dd50371;ece5649d26755b59e9661ef6;76c811c9f50aea4c153ca6e9
hpobench:paramnet:letter:steps,glm-5.3,cost_free,96.68577091732787,3,3bb55909ca55e387309e1d22;de4009dfe25b59e216f75916;81540d9d71d1faa00023e204
hpobench:paramnet:letter:steps,qwen3.8-2.4t-a95b-fp8,cost_free,97.26159678009492,3,52ef6e20cbe8747b1167fad3;5459f1dbd81edd99eb1471cd;a9c60f8cf453c9739d472ee4
